iter	Passed	Remaining
440	1316	1668
441	1319	1665
442	1322	1662
443	1325	1659
444	1327	1656
445	1330	1653
446	1333	1649
447	1336	1646
448	1339	1643
449	1342	1640
450	1344	1637
451	1347	1633
452	1350	1630
453	1353	1627
454	1356	1624
455	1359	1621
456	1362	1618
457	1365	1615
458	1368	1612
459	1371	1609
460	1373	1606
461	1376	1603
462	1379	1600
463	1383	1598
464	1386	1595
465	1389	1592
466	1392	1588
467	1394	1585
468	1397	1582
469	1400	1579
470	1403	1576
471	1406	1573
472	1409	1570
473	1412	1567
474	1415	1564
475	1419	1562
476	1422	1559
477	1425	1556
478	1428	1553
479	1432	1551
480	1435	1548
481	1438	1545
482	1441	1542
483	1444	1540
484	1447	1537
485	1450	1534
486	1453	1531
487	1456	1528
488	1459	1524
489	1462	1522
490	1465	1518
491	1468	1515
492	1470	1512
493	1473	1509
494	1476	1506
495	1479	1503
496	1482	1500
497	1485	1497
498	1488	1494
499	1490	1490
500	1493	1488
501	1497	1485
502	1499	1482
503	1502	1479
504	1505	1475
505	1508	1472
506	1511	1470
507	1514	1466
508	1517	1463
509	1520	1460
510	1523	1457
511	1526	1454
512	1528	1451
513	1531	1448
514	1534	1445
515	1537	1442
516	1540	1439
517	1543	1435
518	1546	1432
519	1548	1429
520	1551	1426
521	1554	1423
522	1557	1420
523	1560	1417
524	1563	1414
525	1566	1411
526	1569	1408
527	1572	1405
528	1575	1402
529	1578	1399
530	1580	1396
531	1583	1393
532	1586	1390
533	1589	1387
534	1592	1384
535	1595	1381
536	1598	1378
537	1601	1375
538	1604	1372
539	1607	1369
540	1610	1366
541	1613	1363
542	1616	1360
543	1619	1357
544	1622	1354
545	1625	1351
546	1628	1348
547	1631	1345
548	1634	1342
549	1637	1339
550	1640	1336
551	1643	1333
552	1646	1331
553	1649	1327
554	1652	1324
555	1655	1321
556	1658	1318
557	1661	1315
558	1664	1312
559	1666	1309
560	1669	1306
561	1672	1303
562	1675	1300
563	1678	1297
564	1681	1294
565	1684	1291
566	1687	1288
567	1690	1285
568	1692	1282
569	1695	1279
570	1698	1276
571	1701	1273
572	1704	1269
573	1707	1266
574	1709	1263
575	1712	1260
576	1715	1257
577	1718	1254
578	1721	1251
579	1724	1248
580	1726	1245
581	1729	1242
582	1732	1239
583	1735	1236
584	1738	1233
585	1741	1230
586	1743	1226
587	1746	1224
588	1749	1220
589	1752	1217
590	1755	1214
591	1758	1211
592	1761	1208
593	1764	1205
594	1767	1202
595	1770	1200
596	1774	1197
597	1777	1194
598	1780	1191
599	1783	1188
600	1786	1185
601	1789	1182
602	1792	1179
603	1795	1176
604	1798	1174
605	1801	1170
606	1804	1168
607	1806	1164
608	1809	1161
609	1812	1159
610	1815	1156
611	1818	1153
612	1821	1150
613	1824	1147
614	1827	1144
615	1830	1141
616	1834	1138
617	1837	1135
618	1840	1132
619	1843	1129
620	1846	1126
621	1849	1123
622	1852	1120
623	1855	1117
624	1858	1114
625	1861	1111
626	1863	1108
627	1867	1105
628	1869	1102
629	1872	1099
630	1875	1096
631	1878	1093
632	1881	1090
633	1884	1087
634	1887	1084
635	1890	1081
636	1893	1078
637	1896	1075
638	1898	1072
639	1901	1069
640	1904	1066
641	1907	1063
642	1910	1060
643	1913	1057
644	1916	1054
645	1919	1051
646	1921	1048
647	1924	1045
648	1927	1042
649	1930	1039
650	1933	1036
651	1936	1033
652	1938	1030
653	1941	1027
654	1944	1024
655	1947	1021
656	1950	1018
657	1953	1015
658	1955	1012
659	1958	1009
660	1961	1006
661	1965	1003
662	1967	1000
663	1970	997
664	1973	994
665	1976	991
666	1979	988
667	1982	985
668	1985	982
669	1988	979
670	1991	976
671	1994	973
672	1997	970
673	2000	967
674	2003	964
675	2005	961
676	2008	958
677	2011	955
678	2014	952
679	2017	949
680	2020	946
681	2023	943
682	2026	940
683	2029	937
684	2032	934
685	2035	931
686	2039	929
687	2042	926
688	2045	923
689	2048	920
690	2051	917
691	2054	914
692	2057	911
693	2060	908
694	2063	905
695	2066	902
696	2068	899
697	2071	896
698	2074	893
699	2077	890
700	2080	887
701	2083	884
702	2086	881
703	2089	878
704	2092	875
705	2095	872
706	2097	869
707	2100	866
708	2103	863
709	2106	860
710	2109	857
711	2112	854
712	2115	851
713	2117	848
714	2120	845
715	2123	842
716	2126	839
717	2129	836
718	2132	833
719	2135	830
720	2137	827
721	2140	824
722	2143	821
723	2146	818
724	2149	815
725	2152	812
726	2155	809
727	2158	806
728	2160	803
729	2163	800
730	2166	797
731	2169	794
732	2172	791
733	2175	788
734	2178	785
735	2181	782
736	2184	779
737	2187	776
738	2190	773
739	2193	770
740	2196	767
741	2198	764
742	2201	761
743	2204	758
744	2207	755
745	2210	752
746	2213	749
747	2216	746
748	2219	743
749	2222	740
750	2225	737
751	2228	735
752	2232	732
753	2235	729
754	2239	726
755	2242	723
756	2245	720
757	2249	718
758	2253	715
759	2257	712
760	2260	709
761	2263	707
762	2267	704
763	2270	701
764	2273	698
765	2277	695
766	2280	692
767	2282	689
768	2286	686
769	2289	683
770	2292	680
771	2295	677
772	2297	674
773	2300	671
774	2303	668
775	2306	665
776	2309	662
777	2312	659
778	2315	656
779	2318	653
780	2321	651
781	2324	648
782	2327	645
783	2330	642
784	2333	639
785	2336	636
786	2339	633
787	2341	630
788	2344	627
789	2347	624
790	2350	621
791	2353	618
792	2356	615
793	2359	612
794	2362	609
795	2365	606
796	2368	603
797	2371	600
798	2374	597
799	2377	594
800	2380	591
801	2383	588
802	2386	585
803	2389	582
804	2392	579
805	2395	576
806	2398	573
807	2401	570
808	2404	567
809	2407	564
810	2411	561
811	2414	558
812	2417	556
813	2420	553
814	2424	550
815	2427	547
816	2430	544
817	2434	541
818	2437	538
819	2440	535
820	2443	532
821	2446	529
822	2450	526
823	2453	523
824	2456	520
825	2458	517
826	2461	514
827	2464	512
828	2467	509
829	2470	506
830	2473	503
831	2476	500
832	2479	497
833	2482	494
834	2485	491
835	2488	488
836	2491	485
837	2494	482
838	2497	479
839	2500	476
840	2503	473
841	2506	470
842	2509	467
843	2512	464
844	2515	461
845	2518	458
846	2521	455
847	2524	452
848	2528	449
849	2531	446
850	2534	443
851	2537	440
852	2539	437
853	2542	434
854	2546	431
855	2548	428
856	2551	425
857	2554	422
858	2557	419
859	2560	416
860	2563	413
861	2566	410
862	2568	407
863	2571	404
864	2574	401
865	2577	398
866	2580	395
867	2583	392
868	2586	389
869	2589	386
870	2591	383
871	2595	380
872	2597	377
873	2601	374
874	2603	371
875	2607	369
876	2610	366
877	2613	363
878	2616	360
879	2619	357
880	2622	354
881	2625	351
882	2629	348
883	2632	345
884	2635	342
885	2637	339
886	2641	336
887	2644	333
888	2647	330
889	2650	327
890	2653	324
891	2655	321
892	2659	318
893	2661	315
894	2664	312
895	2667	309
896	2670	306
897	2673	303
898	2676	300
899	2678	297
900	2681	294
901	2684	291
902	2687	288
903	2690	285
904	2693	282
905	2696	279
906	2699	276
907	2702	273
908	2704	270
909	2707	267
910	2710	264
911	2713	261
912	2716	258
913	2719	255
914	2721	252
915	2724	249
916	2727	246
917	2730	243
918	2733	240
919	2736	237
920	2740	235
921	2743	232
922	2747	229
923	2750	226
924	2753	223
925	2756	220
926	2759	217
927	2762	214
928	2765	211
929	2767	208
930	2770	205
931	2773	202
932	2776	199
933	2779	196
934	2782	193
935	2785	190
936	2788	187
937	2791	184
938	2794	181
