iter	Logloss
0	0.6729574463
1	0.6543595736
2	0.6361343736
3	0.6177519152
4	0.602768872
5	0.58826848
6	0.5739994969
7	0.5609324073
8	0.5467398781
9	0.5348730507
10	0.5243271802
11	0.5146096987
12	0.504169808
13	0.4950639577
14	0.4866382271
15	0.4786106326
16	0.4713494963
17	0.4634503698
18	0.4572004722
19	0.4510989399
20	0.4451833921
21	0.4397707765
22	0.4344602701
23	0.4291520988
24	0.4244321427
25	0.4189046224
26	0.4146883343
27	0.4113027385
28	0.4071160083
29	0.403383203
30	0.4004183915
31	0.3967979959
32	0.3939113017
33	0.3910625146
34	0.3874810817
35	0.3844592656
36	0.3808700594
37	0.3778605271
38	0.3762089951
39	0.3731601803
40	0.3703137604
41	0.3680682872
42	0.3660988158
43	0.3642356761
44	0.362288693
45	0.3600989128
46	0.3582501361
47	0.3566617506
48	0.354988658
49	0.3533324875
50	0.3518151497
51	0.3499613188
52	0.3485166922
53	0.3472407759
54	0.3460210964
55	0.3447964906
56	0.3432796646
57	0.342121788
58	0.3408418731
59	0.3396706891
60	0.3384450916
61	0.3372303065
62	0.336192389
63	0.3354781369
64	0.3346310662
65	0.3335691568
66	0.3324275307
67	0.331536507
68	0.3311038867
69	0.3298868303
70	0.3292126286
71	0.3284460744
72	0.3278513335
73	0.3272575842
74	0.3264141603
75	0.3258842292
76	0.3250794161
77	0.3243637245
78	0.3236377644
79	0.3232169161
80	0.3227279631
81	0.3221782308
82	0.3214807091
83	0.3209298572
84	0.3202419641
85	0.3197146242
86	0.3191101266
87	0.318552653
88	0.3178940619
89	0.3173498638
90	0.3166658094
91	0.3161814308
92	0.3155571
93	0.3149591282
94	0.3144656647
95	0.3140713354
96	0.3134666459
97	0.312950982
98	0.3125619309
99	0.3122504852
100	0.3118486704
101	0.3114648335
102	0.3109229386
103	0.3106213136
104	0.310385778
105	0.3100545311
106	0.3097118002
107	0.309357937
108	0.3091359009
109	0.3086159504
110	0.3082066502
111	0.3080672098
112	0.3077906323
113	0.3074258288
114	0.3069996064
115	0.3066800995
116	0.306382921
117	0.3061250891
118	0.30584125
119	0.3054292947
120	0.3052107133
121	0.3047817398
122	0.304497229
123	0.3042574069
124	0.3039856597
125	0.3036796522
126	0.3033470938
127	0.3030017717
128	0.3027995048
129	0.3024394357
130	0.3022543469
131	0.3017542297
132	0.3014149536
133	0.301246947
134	0.3010568039
135	0.3008795844
136	0.3006703439
137	0.3004803927
138	0.3001527286
139	0.2997218678
140	0.2994327825
141	0.299191137
142	0.2989777699
143	0.298754774
144	0.298546909
145	0.2983159799
146	0.298216238
147	0.2980080211
148	0.2976747909
149	0.2974842
150	0.2971819352
151	0.2970338897
152	0.2967719952
153	0.2965192175
154	0.2962244382
155	0.2960880687
156	0.2958095079
157	0.2956462996
158	0.2954926241
159	0.295238087
160	0.2949952899
161	0.2948443335
162	0.2946393475
163	0.2944559221
164	0.2942393241
165	0.2939942558
166	0.293876504
167	0.2938083353
168	0.2935771182
169	0.2934655403
170	0.2933743075
171	0.2931741519
172	0.2930024985
173	0.2927466818
174	0.2925514205
175	0.2923136777
176	0.2920481044
177	0.2919053691
178	0.2917239271
179	0.2916405316
180	0.2913565006
181	0.2911815843
182	0.2909788056
183	0.2908714822
184	0.2907449654
185	0.2904702113
186	0.2902584756
187	0.2901098863
188	0.2900408539
189	0.2899427754
190	0.28979441
191	0.2896386552
192	0.2894792857
193	0.2893385657
194	0.2891946789
195	0.289042091
196	0.2888484931
197	0.2887613548
198	0.2886749843
199	0.2885357039
200	0.2884682709
201	0.2883339168
202	0.2882180204
203	0.2881556737
204	0.2880071164
205	0.2878240429
206	0.2875996716
207	0.2874444286
208	0.28729971
209	0.2871968971
210	0.2870197416
211	0.2867800795
212	0.2866626156
213	0.2864408993
214	0.2863233394
215	0.2861813719
216	0.2860980084
217	0.2859692843
218	0.2858312515
219	0.2857250797
220	0.2856087355
221	0.285446135
222	0.2853154276
223	0.2852483785
224	0.285112361
225	0.2848814319
226	0.2847544672
227	0.2846271827
228	0.2845170443
229	0.2843993245
230	0.2843146174
231	0.2840733558
232	0.2838799179
233	0.2837640854
234	0.2835889772
235	0.2834834453
236	0.2833960511
237	0.2832273727
238	0.2830648042
239	0.2828774762
240	0.2827515352
241	0.2826353509
242	0.2825197104
243	0.2824019906
244	0.2822668048
245	0.2821446385
246	0.2819871243
247	0.281899986
248	0.2817443912
249	0.2815959938
250	0.2814704687
251	0.2813633053
252	0.2811880691
253	0.2810989476
254	0.2809771332
255	0.2808592854
256	0.2807574322
257	0.2806592258
258	0.2805349162
259	0.2803573129
260	0.2802439116
261	0.2801053029
262	0.2799249165
263	0.2797804858
264	0.2795938616
265	0.2795050599
266	0.2793228501
267	0.2790477441
268	0.2789653082
269	0.278802068
270	0.27861474
271	0.2784867836
272	0.2783586354
273	0.2781824396
274	0.2781113918
275	0.2780037166
276	0.2777989545
277	0.2776927188
278	0.2775850436
279	0.2774386936
280	0.2772930473
